0:0:0:0:0:0:0:1 - - [13/Sep/2017:18:30:37 +0530] "GET /KMARegistrationForm/recheck.jsp HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [13/Sep/2017:18:30:38 +0530] "POST /KMARegistrationForm/StoreData HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2017:18:30:38 +0530] "GET /KMARegistrationForm/index2.jsp HTTP/1.1" 200 13957
0:0:0:0:0:0:0:1 - - [13/Sep/2017:18:31:51 +0530] "POST /KMARegistrationForm/CheckAvailability HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2017:18:31:51 +0530] "GET /KMARegistrationForm/recheck.jsp HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [13/Sep/2017:18:31:52 +0530] "POST /KMARegistrationForm/StoreData HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2017:18:31:52 +0530] "GET /KMARegistrationForm/index2.jsp HTTP/1.1" 200 13957
0:0:0:0:0:0:0:1 - - [13/Sep/2017:18:36:47 +0530] "POST /KMARegistrationForm/CheckAvailability HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2017:18:36:47 +0530] "GET /KMARegistrationForm/recheck.jsp HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [13/Sep/2017:18:36:53 +0530] "GET /KMARegistrationForm/recheck_T.jsp HTTP/1.1" 200 11662
